Race,Candidate,Vote Type,Locality,Votes
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Clayton District 1,845
State Senate 3rd Legislative District (Vote For 1),,Total,Clayton District 1,282
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Clayton District 2,819
State Senate 3rd Legislative District (Vote For 1),,Total,Clayton District 2,225
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Clayton District 3,1183
State Senate 3rd Legislative District (Vote For 1),,Total,Clayton District 3,374
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Clayton District 4,1066
State Senate 3rd Legislative District (Vote For 1),,Total,Clayton District 4,311
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Clayton District 5,750
State Senate 3rd Legislative District (Vote For 1),,Total,Clayton District 5,190
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Clayton District 6,1017
State Senate 3rd Legislative District (Vote For 1),,Total,Clayton District 6,351
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,East Greenwich 1,1237
State Senate 3rd Legislative District (Vote For 1),,Total,East Greenwich 1,375
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,East Greenwich 2,1174
State Senate 3rd Legislative District (Vote For 1),,Total,East Greenwich 2,405
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,East Greenwich 3,820
State Senate 3rd Legislative District (Vote For 1),,Total,East Greenwich 3,345
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,East Greenwich 4,1060
State Senate 3rd Legislative District (Vote For 1),,Total,East Greenwich 4,333
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,East Greenwich 5,857
State Senate 3rd Legislative District (Vote For 1),,Total,East Greenwich 5,268
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,East Greenwich 6,1290
State Senate 3rd Legislative District (Vote For 1),,Total,East Greenwich 6,431
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,East Greenwich 7,1425
State Senate 3rd Legislative District (Vote For 1),,Total,East Greenwich 7,389
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Elk District 1,571
State Senate 3rd Legislative District (Vote For 1),,Total,Elk District 1,196
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Elk District 2,688
State Senate 3rd Legislative District (Vote For 1),,Total,Elk District 2,257
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Elk District 3,1099
State Senate 3rd Legislative District (Vote For 1),,Total,Elk District 3,390
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Elk District 4,824
State Senate 3rd Legislative District (Vote For 1),,Total,Elk District 4,297
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Franklin District 1,758
State Senate 3rd Legislative District (Vote For 1),,Total,Franklin District 1,248
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Franklin District 2,1270
State Senate 3rd Legislative District (Vote For 1),,Total,Franklin District 2,396
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Franklin District 3,1393
State Senate 3rd Legislative District (Vote For 1),,Total,Franklin District 3,432
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Franklin District 4,1208
State Senate 3rd Legislative District (Vote For 1),,Total,Franklin District 4,395
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Franklin District 5,992
State Senate 3rd Legislative District (Vote For 1),,Total,Franklin District 5,292
State Senate 3rd Legislative District (Vote For 1),,Registered Voters,Franklin District 6,1402
State Senate 3rd Legislative District (Vote For 1),,Total,Franklin District 6,467
