Race,Candidate,Vote Type,Locality,Votes
State Senate 26th District (Vote For 1),,Registered Voters,Fairfield 1,987
State Senate 26th District (Vote For 1),,Total,Fairfield 1,260
State Senate 26th District (Vote For 1),,Registered Voters,Fairfield 2,1481
State Senate 26th District (Vote For 1),,Total,Fairfield 2,363
State Senate 26th District (Vote For 1),,Registered Voters,Fairfield 3,1379
State Senate 26th District (Vote For 1),,Total,Fairfield 3,362
State Senate 26th District (Vote For 1),,Registered Voters,Fairfield 4,1098
State Senate 26th District (Vote For 1),,Total,Fairfield 4,333
State Senate 26th District (Vote For 1),,Registered Voters,Fairfield 5,790
State Senate 26th District (Vote For 1),,Total,Fairfield 5,159
State Senate 26th District (Vote For 1),,Registered Voters,North Caldwell 1,1654
State Senate 26th District (Vote For 1),,Total,North Caldwell 1,538
State Senate 26th District (Vote For 1),,Registered Voters,North Caldwell 2,1468
State Senate 26th District (Vote For 1),,Total,North Caldwell 2,451
State Senate 26th District (Vote For 1),,Registered Voters,North Caldwell 3,1120
State Senate 26th District (Vote For 1),,Total,North Caldwell 3,391
State Senate 26th District (Vote For 1),,Registered Voters,North Caldwell 4,970
State Senate 26th District (Vote For 1),,Total,North Caldwell 4,313
State Senate 26th District (Vote For 1),,Registered Voters,Verona 1,1136
State Senate 26th District (Vote For 1),,Total,Verona 1,386
State Senate 26th District (Vote For 1),,Registered Voters,Verona 2,866
State Senate 26th District (Vote For 1),,Total,Verona 2,309
State Senate 26th District (Vote For 1),,Registered Voters,Verona 3,706
State Senate 26th District (Vote For 1),,Total,Verona 3,256
State Senate 26th District (Vote For 1),,Registered Voters,Verona 4,1138
State Senate 26th District (Vote For 1),,Total,Verona 4,349
State Senate 26th District (Vote For 1),,Registered Voters,Verona 5,1097
State Senate 26th District (Vote For 1),,Total,Verona 5,430
State Senate 26th District (Vote For 1),,Registered Voters,Verona 6,1001
State Senate 26th District (Vote For 1),,Total,Verona 6,329
State Senate 26th District (Vote For 1),,Registered Voters,Verona 7,796
State Senate 26th District (Vote For 1),,Total,Verona 7,272
State Senate 26th District (Vote For 1),,Registered Voters,Verona 8,972
State Senate 26th District (Vote For 1),,Total,Verona 8,334
State Senate 26th District (Vote For 1),,Registered Voters,Verona 9,963
State Senate 26th District (Vote For 1),,Total,Verona 9,296
State Senate 26th District (Vote For 1),,Registered Voters,Verona 10,1050
State Senate 26th District (Vote For 1),,Total,Verona 10,384
State Senate 26th District (Vote For 1),,Registered Voters,Verona 11,1167
State Senate 26th District (Vote For 1),,Total,Verona 11,302
State Senate 26th District (Vote For 1),,Registered Voters,West Caldwell 1,763
State Senate 26th District (Vote For 1),,Total,West Caldwell 1,270
State Senate 26th District (Vote For 1),,Registered Voters,West Caldwell 2,852
State Senate 26th District (Vote For 1),,Total,West Caldwell 2,300
State Senate 26th District (Vote For 1),,Registered Voters,West Caldwell 3,1244
State Senate 26th District (Vote For 1),,Total,West Caldwell 3,398
State Senate 26th District (Vote For 1),,Registered Voters,West Caldwell 4,1189
State Senate 26th District (Vote For 1),,Total,West Caldwell 4,349
State Senate 26th District (Vote For 1),,Registered Voters,West Caldwell 5,961
State Senate 26th District (Vote For 1),,Total,West Caldwell 5,279
State Senate 26th District (Vote For 1),,Registered Voters,West Caldwell 6,924
State Senate 26th District (Vote For 1),,Total,West Caldwell 6,311
State Senate 26th District (Vote For 1),,Registered Voters,West Caldwell 7,696
State Senate 26th District (Vote For 1),,Total,West Caldwell 7,262
State Senate 26th District (Vote For 1),,Registered Voters,West Caldwell 8,891
State Senate 26th District (Vote For 1),,Total,West Caldwell 8,315
State Senate 26th District (Vote For 1),,Registered Voters,West Caldwell 9,1045
State Senate 26th District (Vote For 1),,Total,West Caldwell 9,381
State Senate 26th District (Vote For 1),,Registered Voters,Fairfield Mail-In,0
State Senate 26th District (Vote For 1),,Total,Fairfield Mail-In,83
State Senate 26th District (Vote For 1),,Registered Voters,North Caldwell Mail-In,0
State Senate 26th District (Vote For 1),,Total,North Caldwell Mail-In,86
State Senate 26th District (Vote For 1),,Registered Voters,Verona Mail-In,0
State Senate 26th District (Vote For 1),,Total,Verona Mail-In,234
State Senate 26th District (Vote For 1),,Registered Voters,West Caldwell Mail-In,0
State Senate 26th District (Vote For 1),,Total,West Caldwell Mail-In,209
State Senate 26th District (Vote For 1),,Registered Voters,Fairfield Provisional,0
State Senate 26th District (Vote For 1),,Total,Fairfield Provisional,13
State Senate 26th District (Vote For 1),,Registered Voters,North Caldwell Provisional,0
State Senate 26th District (Vote For 1),,Total,North Caldwell Provisional,5
State Senate 26th District (Vote For 1),,Registered Voters,Verona Provisional,0
State Senate 26th District (Vote For 1),,Total,Verona Provisional,24
State Senate 26th District (Vote For 1),,Registered Voters,West Caldwell Provisional,0
State Senate 26th District (Vote For 1),,Total,West Caldwell Provisional,14
State Senate 26th District (Vote For 1),,Registered Voters,Total:,30404
State Senate 26th District (Vote For 1),,Total,Total:,10350
